customerID,Churn,customer_gender,customer_SeniorCitizen,customer_Partner,customer_Dependents,customer_tenure,phone_PhoneService,phone_MultipleLines,internet_InternetService,internet_OnlineSecurity,internet_OnlineBackup,internet_DeviceProtection,internet_TechSupport,internet_StreamingTV,internet_StreamingMovies,account_Contract,account_PaperlessBilling,account_PaymentMethod,account_Charges_Monthly,account_Charges_Total,Contas_Diarias
0292-WEGCH,False,Female,0,Yes,Yes,54,Yes,True,DSL,False,True,True,True,True,True,Month-to-month,Yes,Electronic check,86.2,4524.05,2.87
0311-QYWSS,False,Female,0,No,No,6,Yes,False,DSL,True,False,False,False,False,False,Month-to-month,Yes,Electronic check,49.45,314.6,1.65
0374-AACSZ,False,Female,0,No,No,1,Yes,False,DSL,True,False,False,False,False,False,Month-to-month,No,Electronic check,50.15,50.15,1.67
0374-IOEGQ,False,Female,0,No,No,3,Yes,False,DSL,False,False,False,False,False,False,Month-to-month,No,Electronic check,44.6,122.7,1.49
0411-EZJZE,False,Female,0,No,No,3,Yes,True,DSL,False,False,False,False,True,False,Month-to-month,Yes,Electronic check,60.25,170.5,2.01
0420-HLGXF,False,Female,1,No,No,39,Yes,True,Fiber optic,False,False,True,False,True,True,Month-to-month,Yes,Electronic check,99.75,4036.0,3.32
0434-CSFON,False,Female,0,Yes,No,47,Yes,True,Fiber optic,False,False,True,False,True,True,Month-to-month,Yes,Electronic check,100.5,4707.1,3.35
0439-IFYUN,False,Female,1,No,No,18,Yes,False,Fiber optic,False,True,False,False,False,False,Month-to-month,Yes,Electronic check,74.7,1294.6,2.49
0455-XFASS,False,Female,0,Yes,Yes,3,Yes,False,Fiber optic,False,False,False,False,False,False,Month-to-month,Yes,Electronic check,69.55,200.2,2.32
0480-BIXDE,False,Female,0,Yes,No,19,Yes,False,Fiber optic,False,False,True,False,True,True,Month-to-month,Yes,Electronic check,96.8,1743.05,3.23
0508-OOLTO,False,Female,0,Yes,Yes,2,Yes,False,Fiber optic,False,False,False,False,False,False,Month-to-month,Yes,Electronic check,71.65,135.75,2.39
0510-EXSMQ,False,Female,0,No,No,9,Yes,False,Fiber optic,False,False,False,False,False,False,Month-to-month,No,Electronic check,69.05,651.5,2.3
0523-VNGTF,False,Female,1,No,No,52,No,False,DSL,False,True,True,True,True,False,Month-to-month,Yes,Electronic check,50.5,2566.3,1.68
0530-HBKHZ,False,Female,1,Yes,No,1,No,False,DSL,False,False,False,False,False,False,Month-to-month,Yes,Electronic check,24.8,24.8,0.83
0567-GGCAC,False,Female,0,No,No,7,Yes,False,DSL,True,True,True,False,False,False,Month-to-month,No,Electronic check,61.4,438.9,2.05
0570-BFQHT,False,Female,0,No,No,9,Yes,False,Fiber optic,False,True,True,False,False,False,Month-to-month,No,Electronic check,80.55,653.9,2.68
0577-WHMEV,False,Female,0,Yes,No,16,Yes,True,Fiber optic,True,True,True,False,False,False,Month-to-month,No,Electronic check,90.7,1374.9,3.02
0581-BXBUB,False,Female,1,No,No,4,Yes,False,Fiber optic,False,True,False,False,False,False,Month-to-month,No,Electronic check,72.75,317.75,2.42
0639-QDHAY,False,Female,0,No,No,22,Yes,False,Fiber optic,True,False,False,True,False,True,Month-to-month,Yes,Electronic check,89.05,1886.25,2.97
0650-BWOZN,False,Female,1,No,No,18,Yes,False,Fiber optic,False,True,False,False,False,False,Month-to-month,Yes,Electronic check,73.55,1359.45,2.45
0668-OGMHD,False,Female,0,Yes,No,21,No,False,DSL,True,False,False,False,False,False,Month-to-month,No,Electronic check,28.5,629.35,0.95
0674-EYYZV,False,Female,0,No,No,1,Yes,False,DSL,False,False,False,False,True,False,Month-to-month,Yes,Electronic check,54.65,54.65,1.82
0682-USIXD,False,Female,0,Yes,No,21,Yes,False,Fiber optic,False,False,False,True,True,False,Month-to-month,Yes,Electronic check,86.05,1818.9,2.87
0722-SVSFK,False,Female,0,No,No,7,Yes,False,Fiber optic,False,False,True,True,True,True,Month-to-month,Yes,Electronic check,100.4,715.0,3.35
0749-IRGQE,False,Female,1,Yes,No,13,No,False,DSL,False,False,False,False,True,True,Month-to-month,No,Electronic check,45.3,528.45,1.51
0771-WLCLA,False,Female,0,Yes,Yes,16,Yes,True,Fiber optic,True,False,True,True,True,True,Month-to-month,Yes,Electronic check,112.95,1882.55,3.76
0793-TWELN,False,Female,0,No,No,4,Yes,True,Fiber optic,True,False,False,False,False,False,Month-to-month,Yes,Electronic check,80.15,319.85,2.67
0799-DDIHE,False,Female,0,Yes,Yes,15,Yes,False,DSL,False,False,False,False,False,False,Month-to-month,No,Electronic check,46.3,639.45,1.54
0804-XBFBV,False,Female,0,No,Yes,11,No,False,DSL,False,False,False,False,False,False,Month-to-month,No,Electronic check,25.2,321.05,0.84
0811-GSDTP,False,Female,0,No,Yes,13,No,False,DSL,False,True,False,False,False,False,Month-to-month,No,Electronic check,30.15,382.2,1.0
0822-QGCXA,False,Female,1,Yes,No,27,Yes,True,DSL,False,True,True,True,True,True,Month-to-month,No,Electronic check,83.85,2310.2,2.8
0840-DFEZH,False,Female,0,No,No,7,Yes,True,Fiber optic,False,False,False,False,False,False,Month-to-month,Yes,Electronic check,75.35,564.65,2.51
0840-JCCUW,False,Female,0,Yes,No,2,Yes,False,DSL,False,False,False,False,False,False,Month-to-month,Yes,Electronic check,45.0,89.75,1.5
0851-DFJKB,False,Female,0,No,No,15,Yes,False,DSL,True,False,True,True,False,False,Month-to-month,No,Electronic check,58.95,955.15,1.96
0916-QOFDP,False,Female,1,Yes,Yes,14,Yes,True,Fiber optic,False,False,False,False,True,True,Month-to-month,Yes,Electronic check,95.8,1346.3,3.19
0924-BJCRC,False,Female,1,Yes,No,60,Yes,True,Fiber optic,False,True,False,False,False,True,Month-to-month,No,Electronic check,89.45,5294.6,2.98
0928-XUTSN,False,Female,0,No,No,13,Yes,False,Fiber optic,False,False,False,False,False,True,Month-to-month,Yes,Electronic check,80.5,1011.8,2.68
0968-FTNYZ,False,Female,0,No,Yes,13,Yes,False,DSL,True,True,False,False,False,False,Month-to-month,Yes,Electronic check,56.0,764.55,1.87
0980-PVMRC,False,Female,0,Yes,Yes,40,No,False,DSL,False,True,False,False,True,True,Month-to-month,Yes,Electronic check,50.85,2036.55,1.7
0988-JRWWP,False,Female,0,No,No,3,Yes,False,DSL,False,False,False,False,True,False,Month-to-month,Yes,Electronic check,54.2,140.4,1.81
1013-QCWAM,False,Female,1,Yes,No,66,Yes,True,Fiber optic,False,True,False,False,True,True,Month-to-month,Yes,Electronic check,100.8,6690.75,3.36
1020-JPQOW,False,Female,0,Yes,No,56,Yes,True,Fiber optic,False,True,True,True,False,False,Month-to-month,No,Electronic check,90.55,5116.6,3.02
1035-IPQPU,False,Female,1,Yes,No,63,Yes,True,Fiber optic,False,True,True,False,True,True,Month-to-month,Yes,Electronic check,103.5,6479.4,3.45
1077-HUUJM,False,Female,0,No,Yes,7,Yes,False,Fiber optic,False,False,False,False,False,False,Month-to-month,Yes,Electronic check,71.05,472.65,2.37
1078-TDCRN,False,Female,1,Yes,No,3,No,False,DSL,False,True,False,False,False,False,Month-to-month,Yes,Electronic check,30.75,82.85,1.02
1101-SSWAG,False,Female,0,Yes,No,15,Yes,True,DSL,False,False,False,False,False,False,Month-to-month,Yes,Electronic check,51.1,711.15,1.7
1156-ZFYDO,False,Female,0,No,No,1,Yes,False,No,False,False,False,False,False,False,Month-to-month,No,Electronic check,19.75,19.75,0.66
1159-WFSGR,False,Female,0,Yes,Yes,16,Yes,False,No,False,False,False,False,False,False,Month-to-month,No,Electronic check,20.4,321.4,0.68
1173-XZPYF,False,Female,0,No,No,11,Yes,True,Fiber optic,False,False,True,False,True,False,Month-to-month,Yes,Electronic check,89.2,990.3,2.97
1197-BVMVG,False,Female,1,No,No,4,Yes,True,Fiber optic,False,False,False,False,False,False,Month-to-month,Yes,Electronic check,74.45,294.45,2.48
1200-TUZHR,False,Female,1,No,No,8,Yes,True,Fiber optic,False,False,False,False,False,True,Month-to-month,No,Electronic check,85.2,695.75,2.84
1219-NNDDO,False,Female,0,No,No,9,Yes,True,Fiber optic,False,False,False,False,False,False,Month-to-month,Yes,Electronic check,76.85,663.55,2.56
1232-TPUYA,False,Female,1,Yes,No,1,Yes,False,Fiber optic,False,False,False,False,False,False,Month-to-month,Yes,Electronic check,69.55,69.55,2.32
1251-STYSZ,False,Female,1,No,No,4,Yes,True,Fiber optic,True,False,False,False,False,False,Month-to-month,Yes,Electronic check,80.25,303.7,2.68
1310-QRITU,False,Female,0,No,No,18,Yes,True,DSL,False,False,False,False,False,False,Month-to-month,Yes,Electronic check,50.3,913.3,1.68
1355-KUSBG,False,Female,0,Yes,Yes,7,Yes,True,DSL,False,False,False,False,False,False,Month-to-month,No,Electronic check,48.8,349.8,1.63
1393-IMKZG,False,Female,0,No,No,1,Yes,False,Fiber optic,False,False,False,True,True,True,Month-to-month,Yes,Electronic check,95.85,95.85,3.2
1394-SUIUH,False,Female,1,Yes,No,44,Yes,False,Fiber optic,True,True,False,True,False,False,Month-to-month,Yes,Electronic check,85.15,3670.5,2.84
1427-VERSM,False,Female,0,Yes,No,56,Yes,False,Fiber optic,False,False,True,True,True,True,Month-to-month,Yes,Electronic check,98.7,5669.5,3.29
1442-BQPVU,False,Female,0,No,No,13,No,False,DSL,False,True,False,False,False,False,Month-to-month,No,Electronic check,29.15,357.15,0.97
1469-LBJQJ,False,Female,0,Yes,No,66,Yes,True,Fiber optic,False,True,True,False,True,True,Month-to-month,Yes,Electronic check,105.2,6936.85,3.51
1471-GIQKQ,False,Female,0,No,No,1,Yes,False,DSL,False,True,False,False,False,False,Month-to-month,No,Electronic check,49.95,49.95,1.66
1478-VPOAD,False,Female,0,No,No,1,Yes,False,DSL,False,False,False,False,False,False,Month-to-month,No,Electronic check,43.8,43.8,1.46
1536-HBSWP,False,Female,0,No,No,1,Yes,False,DSL,False,False,False,True,False,False,Month-to-month,Yes,Electronic check,49.9,49.9,1.66
1550-EENBN,False,Female,0,No,No,31,Yes,True,Fiber optic,True,True,False,False,True,True,Month-to-month,No,Electronic check,104.35,3205.6,3.48
1575-KRZZE,False,Female,0,No,No,4,Yes,False,DSL,True,True,False,False,False,False,Month-to-month,No,Electronic check,55.2,220.65,1.84
1596-OQSPS,False,Female,0,No,No,11,Yes,False,DSL,False,True,False,False,False,False,Month-to-month,No,Electronic check,51.1,531.15,1.7
1640-PLFMP,False,Female,0,No,No,1,Yes,False,Fiber optic,False,False,False,False,False,False,Month-to-month,Yes,Electronic check,70.25,70.25,2.34
1641-RQDAY,False,Female,1,Yes,Yes,32,Yes,True,Fiber optic,False,True,False,False,True,True,Month-to-month,Yes,Electronic check,100.4,3217.65,3.35
1658-TJVOA,False,Female,1,No,No,6,Yes,False,Fiber optic,True,False,False,False,False,False,Month-to-month,Yes,Electronic check,74.1,450.9,2.47
1666-JXLKU,False,Female,0,No,No,37,Yes,True,Fiber optic,False,False,True,False,True,True,Month-to-month,Yes,Electronic check,100.05,3810.55,3.34
1689-YQBYY,False,Female,0,No,Yes,12,Yes,True,Fiber optic,False,False,False,False,False,False,Month-to-month,Yes,Electronic check,76.6,893.0,2.55
1728-BQDMA,False,Female,0,No,No,2,Yes,False,DSL,False,False,False,False,False,False,Month-to-month,No,Electronic check,44.45,82.7,1.48
1730-ZMAME,False,Female,1,No,No,32,Yes,False,Fiber optic,False,False,False,False,False,True,Month-to-month,Yes,Electronic check,79.5,2665.0,2.65
1744-JHKYS,False,Female,0,Yes,No,34,Yes,True,No,False,False,False,False,False,False,Month-to-month,No,Electronic check,24.7,780.2,0.82
1767-TGTKO,False,Female,0,Yes,Yes,8,Yes,False,DSL,False,False,False,False,False,False,Month-to-month,Yes,Electronic check,45.45,411.75,1.52
1768-HNVGJ,False,Female,1,No,No,45,Yes,True,DSL,True,False,False,True,False,True,Month-to-month,Yes,Electronic check,70.05,3062.45,2.34
1769-GRUIK,False,Female,0,No,No,18,Yes,False,Fiber optic,False,False,False,False,False,False,Month-to-month,Yes,Electronic check,71.1,1247.75,2.37
1803-BGNBD,False,Female,0,No,No,12,Yes,False,DSL,False,True,False,True,False,False,Month-to-month,Yes,Electronic check,54.3,654.5,1.81
1818-ESQMW,False,Female,0,No,No,27,Yes,False,Fiber optic,False,False,True,True,False,True,Month-to-month,Yes,Electronic check,89.2,2383.6,2.97
1849-RJYIG,False,Female,0,No,No,8,Yes,False,DSL,True,False,False,False,True,False,Month-to-month,Yes,Electronic check,60.0,487.75,2.0
1910-FMXJM,False,Female,0,Yes,No,36,Yes,False,Fiber optic,False,False,False,False,False,True,Month-to-month,No,Electronic check,80.4,2937.65,2.68
1984-GPTEH,False,Female,0,No,No,29,Yes,True,No,False,False,False,False,False,False,Month-to-month,No,Electronic check,25.15,702.0,0.84
2027-WKXMW,False,Female,0,Yes,No,63,Yes,True,Fiber optic,False,True,True,True,True,True,Month-to-month,Yes,Electronic check,108.75,6871.7,3.62
2038-LLMLM,False,Female,0,No,No,48,Yes,True,Fiber optic,False,False,True,True,True,True,Month-to-month,Yes,Electronic check,103.85,4946.05,3.46
2041-JIJCI,False,Female,0,No,No,5,Yes,True,DSL,False,True,False,False,False,True,Month-to-month,Yes,Electronic check,64.0,370.25,2.13
2067-QYTCF,False,Female,0,Yes,No,64,Yes,True,Fiber optic,False,True,True,True,True,True,Month-to-month,Yes,Electronic check,111.15,6953.4,3.7
2080-CAZNM,False,Female,1,No,No,41,Yes,True,Fiber optic,False,True,True,False,True,True,Month-to-month,Yes,Electronic check,104.4,4133.95,3.48
2101-RANCD,False,Female,0,No,No,55,Yes,True,Fiber optic,False,False,False,False,False,False,Month-to-month,Yes,Electronic check,73.1,4144.9,2.44
2107-FBPTK,False,Female,1,No,No,30,Yes,True,Fiber optic,False,True,True,False,True,True,Month-to-month,Yes,Electronic check,104.1,3121.1,3.47
2122-YWVYA,False,Female,0,No,No,18,Yes,False,Fiber optic,True,False,False,False,False,False,Month-to-month,Yes,Electronic check,75.4,1380.4,2.51
2123-AGEEN,False,Female,1,No,No,7,Yes,False,Fiber optic,False,False,True,False,True,False,Month-to-month,Yes,Electronic check,84.35,609.65,2.81
2129-ALKBS,False,Female,0,Yes,Yes,40,Yes,True,No,False,False,False,False,False,False,Month-to-month,Yes,Electronic check,26.2,1077.5,0.87
2207-QPJED,False,Female,1,Yes,No,37,Yes,False,Fiber optic,False,False,True,True,True,False,Month-to-month,No,Electronic check,90.0,3371.75,3.0
2208-NQBCT,False,Female,0,Yes,Yes,26,Yes,False,Fiber optic,True,True,False,False,False,False,Month-to-month,No,Electronic check,81.95,2070.05,2.73
2235-DWLJU,False,Female,1,No,No,6,No,False,DSL,False,False,False,False,True,True,Month-to-month,Yes,Electronic check,44.4,263.05,1.48
2262-SLNVK,False,Female,0,No,No,1,Yes,False,Fiber optic,False,False,False,False,False,False,Month-to-month,No,Electronic check,70.1,70.1,2.34
2272-UOINI,False,Female,0,No,No,7,Yes,False,DSL,True,True,False,True,True,True,Month-to-month,Yes,Electronic check,78.5,571.05,2.62
2325-NBPZG,False,Female,0,No,No,3,Yes,False,Fiber optic,True,False,False,False,False,False,Month-to-month,Yes,Electronic check,74.55,233.65,2.48
2346-DJQTB,False,Female,0,No,No,35,No,False,DSL,False,False,False,False,False,False,Month-to-month,No,Electronic check,24.15,812.5,0.8
2386-OWURY,False,Female,0,No,No,58,Yes,False,Fiber optic,False,False,False,True,True,True,Month-to-month,Yes,Electronic check,95.3,5817.7,3.18
2424-GXJQO,False,Female,0,No,No,3,Yes,False,DSL,False,False,True,False,True,False,Month-to-month,No,Electronic check,57.55,161.45,1.92
2436-QBZFP,False,Female,0,Yes,Yes,22,No,False,DSL,False,True,False,False,True,False,Month-to-month,No,Electronic check,39.2,849.9,1.31
2495-KZNFB,False,Female,0,No,No,33,Yes,True,Fiber optic,True,False,False,False,False,True,Month-to-month,Yes,Electronic check,90.65,2989.6,3.02
2523-EWWZL,False,Female,0,Yes,No,27,Yes,False,Fiber optic,False,True,False,False,False,False,Month-to-month,Yes,Electronic check,76.1,2093.4,2.54
2545-EBUPK,False,Female,1,No,No,2,Yes,True,Fiber optic,False,False,False,False,False,True,Month-to-month,Yes,Electronic check,84.05,186.05,2.8
2582-FFFZR,False,Female,0,No,No,22,No,False,DSL,False,False,True,False,True,True,Month-to-month,Yes,Electronic check,50.6,1073.3,1.69
2604-IJPDU,False,Female,0,Yes,No,20,Yes,False,Fiber optic,True,True,False,True,True,False,Month-to-month,Yes,Electronic check,96.55,1901.65,3.22
2625-TRCZQ,False,Female,0,Yes,No,51,No,False,DSL,False,True,False,False,True,True,Month-to-month,Yes,Electronic check,49.65,2553.35,1.66
2657-VPXTA,False,Female,0,Yes,Yes,10,Yes,False,Fiber optic,False,False,False,False,True,True,Month-to-month,Yes,Electronic check,88.85,929.45,2.96
2672-TGEFF,False,Female,0,Yes,Yes,37,Yes,True,Fiber optic,False,True,False,False,True,False,Month-to-month,Yes,Electronic check,88.8,3340.55,2.96
2712-SYWAY,False,Female,0,No,No,1,Yes,True,No,False,False,False,False,False,False,Month-to-month,Yes,Electronic check,25.7,25.7,0.86
2786-GCDPI,False,Female,1,No,No,50,Yes,True,Fiber optic,False,False,True,True,True,True,Month-to-month,Yes,Electronic check,104.95,5222.35,3.5
2799-ARNLO,False,Female,1,Yes,No,5,Yes,False,Fiber optic,False,False,False,False,False,False,Month-to-month,Yes,Electronic check,69.35,341.6,2.31
2809-ZMYOQ,False,Female,0,No,No,32,Yes,True,Fiber optic,False,False,True,False,True,True,Month-to-month,Yes,Electronic check,101.35,3334.9,3.38
2824-MYYBN,False,Female,0,Yes,Yes,37,Yes,True,Fiber optic,False,False,False,False,True,True,Month-to-month,Yes,Electronic check,95.25,3314.15,3.18
2832-KJCRD,False,Female,0,No,No,38,Yes,True,Fiber optic,False,False,True,True,True,True,Month-to-month,Yes,Electronic check,103.65,3988.5,3.46
2832-SCUCO,False,Female,0,No,No,2,Yes,False,No,False,False,False,False,False,False,Month-to-month,No,Electronic check,19.9,57.4,0.66
2874-YXVVA,False,Female,0,No,No,34,Yes,False,Fiber optic,False,True,True,True,True,True,Month-to-month,Yes,Electronic check,105.1,3634.8,3.5
2876-GZYZC,False,Female,0,No,No,13,Yes,True,Fiber optic,False,False,False,False,False,True,Month-to-month,Yes,Electronic check,85.95,1215.65,2.86
2921-XWDJH,False,Female,1,Yes,No,38,Yes,False,Fiber optic,True,False,False,False,False,True,Month-to-month,Yes,Electronic check,83.45,3147.15,2.78
2937-FTHUR,False,Female,0,No,Yes,18,Yes,True,DSL,True,False,False,False,False,True,Month-to-month,No,Electronic check,64.8,1166.7,2.16
2969-QWUBZ,False,Female,0,No,No,2,No,False,DSL,False,True,False,False,True,True,Month-to-month,No,Electronic check,51.4,96.8,1.71
2971-SGAFL,False,Female,0,No,No,13,Yes,True,DSL,True,False,True,False,True,True,Month-to-month,Yes,Electronic check,78.75,995.35,2.62
2984-AFWNC,False,Female,0,No,No,3,Yes,False,Fiber optic,False,True,False,False,True,True,Month-to-month,No,Electronic check,95.4,293.15,3.18
2985-FMWYF,False,Female,0,No,No,23,Yes,True,Fiber optic,False,False,False,False,True,True,Month-to-month,Yes,Electronic check,93.5,2341.55,3.12
2988-GBIVW,False,Female,1,Yes,No,70,Yes,True,Fiber optic,True,False,False,False,False,True,Month-to-month,Yes,Electronic check,90.85,6470.1,3.03
3002-WQZWT,False,Female,0,No,No,29,Yes,True,Fiber optic,False,False,False,False,False,False,Month-to-month,Yes,Electronic check,74.2,1993.25,2.47
3003-CMDUU,False,Female,0,Yes,No,25,Yes,False,Fiber optic,False,False,False,True,True,True,Month-to-month,Yes,Electronic check,95.15,2395.7,3.17
3062-ICYZQ,False,Female,0,Yes,Yes,51,Yes,True,Fiber optic,True,True,False,False,False,True,Month-to-month,Yes,Electronic check,93.8,4539.35,3.13
3097-PYWXL,False,Female,0,Yes,Yes,4,Yes,False,No,False,False,False,False,False,False,Month-to-month,Yes,Electronic check,19.95,82.9,0.66
3191-CSNMG,False,Female,0,Yes,Yes,3,Yes,False,Fiber optic,False,False,False,False,True,False,Month-to-month,Yes,Electronic check,80.7,239.45,2.69
3199-XGZCY,False,Female,0,No,No,8,Yes,True,Fiber optic,False,False,False,False,False,False,Month-to-month,Yes,Electronic check,75.25,576.7,2.51
3301-LSLWQ,False,Female,0,No,No,29,Yes,True,DSL,True,False,False,False,False,True,Month-to-month,Yes,Electronic check,66.1,1912.15,2.2
3317-VLGQT,False,Female,0,Yes,No,14,Yes,False,Fiber optic,False,False,False,False,False,True,Month-to-month,Yes,Electronic check,78.1,1122.4,2.6
3351-NGXYI,False,Female,1,No,No,16,Yes,True,DSL,True,False,False,False,False,False,Month-to-month,Yes,Electronic check,54.1,889.0,1.8
3365-SAIGS,False,Female,0,No,No,17,Yes,False,Fiber optic,False,True,False,False,True,False,Month-to-month,Yes,Electronic check,83.55,1329.15,2.78
3370-HXOPH,False,Female,0,No,No,3,Yes,True,Fiber optic,False,False,False,False,False,False,Month-to-month,No,Electronic check,76.1,257.6,2.54
3404-JNXAX,False,Female,0,Yes,Yes,51,Yes,True,Fiber optic,False,False,False,True,False,False,Month-to-month,Yes,Electronic check,80.75,4116.9,2.69
3420-YJLQT,False,Female,0,No,No,2,Yes,True,Fiber optic,False,True,False,False,False,False,Month-to-month,No,Electronic check,79.55,151.75,2.65
3427-GGZZI,False,Female,0,Yes,No,19,Yes,True,Fiber optic,False,True,False,False,False,True,Month-to-month,Yes,Electronic check,89.1,1620.8,2.97
3452-GWUIN,False,Female,1,Yes,No,19,Yes,True,Fiber optic,False,False,False,False,True,True,Month-to-month,Yes,Electronic check,94.95,1760.25,3.16
3462-BJQQA,False,Female,0,No,No,6,Yes,True,Fiber optic,False,True,False,False,True,False,Month-to-month,Yes,Electronic check,89.75,552.65,2.99
3489-HHPFY,False,Female,0,Yes,No,2,Yes,True,Fiber optic,False,False,False,False,True,False,Month-to-month,Yes,Electronic check,84.05,134.05,2.8
3503-TYDAY,False,Female,0,Yes,No,43,Yes,True,Fiber optic,False,True,False,False,False,False,Month-to-month,No,Electronic check,80.45,3398.9,2.68
3541-ZNUHK,False,Female,0,Yes,Yes,55,Yes,True,Fiber optic,True,True,False,False,False,False,Month-to-month,Yes,Electronic check,85.1,4600.95,2.84
3545-CNWRG,False,Female,0,Yes,Yes,49,Yes,True,Fiber optic,False,True,False,False,True,True,Month-to-month,Yes,Electronic check,98.35,4889.2,3.28
3569-EDBPQ,False,Female,0,No,No,24,Yes,True,Fiber optic,True,False,False,True,False,False,Month-to-month,Yes,Electronic check,84.35,1938.05,2.81
3570-YUEKJ,False,Female,0,No,No,42,Yes,False,DSL,False,True,False,False,False,False,Month-to-month,Yes,Electronic check,49.55,2077.95,1.65
3588-WSTTJ,False,Female,1,No,No,35,Yes,True,Fiber optic,True,False,False,False,True,True,Month-to-month,Yes,Electronic check,99.05,3554.6,3.3
3604-WLABM,False,Female,0,No,No,10,Yes,False,DSL,False,False,True,True,False,False,Month-to-month,No,Electronic check,54.25,583.0,1.81
3639-XJHKQ,False,Female,0,No,Yes,19,Yes,False,DSL,True,True,True,False,False,False,Month-to-month,Yes,Electronic check,60.6,1297.8,2.02
3665-JATSN,False,Female,0,No,No,19,No,False,DSL,False,True,False,False,False,True,Month-to-month,Yes,Electronic check,39.7,710.05,1.32
3679-XASPY,False,Female,0,Yes,Yes,1,Yes,False,No,False,False,False,False,False,False,Month-to-month,No,Electronic check,19.45,19.45,0.65
3689-MOZGR,False,Female,0,No,No,29,No,False,DSL,False,False,False,True,False,False,Month-to-month,Yes,Electronic check,31.2,926.2,1.04
3714-NTNFO,False,Female,0,No,No,49,Yes,True,Fiber optic,False,False,False,False,False,True,Month-to-month,Yes,Electronic check,84.5,3906.7,2.82
3744-ZBHON,False,Female,0,No,No,3,Yes,False,No,False,False,False,False,False,False,Month-to-month,No,Electronic check,20.2,65.95,0.67
3780-YVMFA,False,Female,0,Yes,Yes,8,Yes,False,DSL,False,False,False,True,True,True,Month-to-month,Yes,Electronic check,68.55,564.35,2.28
3781-LIPVO,False,Female,0,Yes,No,7,Yes,True,Fiber optic,False,False,False,False,True,False,Month-to-month,Yes,Electronic check,86.5,582.5,2.88
3798-EPWRR,False,Female,1,No,No,2,Yes,False,DSL,False,False,False,False,False,False,Month-to-month,No,Electronic check,43.95,85.1,1.46
3803-QHPWH,False,Female,1,Yes,No,29,No,False,DSL,True,False,True,False,False,True,Month-to-month,Yes,Electronic check,45.0,1228.65,1.5
3807-XHCJH,False,Female,0,Yes,Yes,1,Yes,False,No,False,False,False,False,False,False,Month-to-month,No,Electronic check,20.0,20.0,0.67
3808-HFKDE,False,Female,0,No,No,20,Yes,False,DSL,False,False,False,False,False,False,Month-to-month,Yes,Electronic check,44.35,927.15,1.48
3841-CONLJ,False,Female,0,Yes,No,1,No,False,DSL,False,False,False,False,False,True,Month-to-month,No,Electronic check,35.0,35.0,1.17
3878-AVSOQ,False,Female,1,No,No,1,Yes,False,Fiber optic,False,False,False,False,False,False,Month-to-month,Yes,Electronic check,71.25,71.25,2.38
